,gender,age_range,highest_education_level,preferred_content_type,prefer_movies_over_series_reason,prefer_series_over_movies_reason,binge_watching_preference,preferred_film_type,preferred_genres,popularity_influence_on_decision,actor_importance_rating,budget_quality_indicator,movie_dislike_factors,movie_series_likes,favorite_movie_or_series,favorite_series,favorite_series_summary_and_enjoyment,favorite_series_actors,ideal_episode_duration,series_nationality,favorite_series_what_liked_most,series_seasons_count,favorite_movie,favorite_movie_actor,favorite_movie_description,movie_duration,release_date_importance,movie_decade,movie_genre,movie_budget_importance,general_movie_watching_preference,watching_with_others_preference,real_vs_fictional_preference,movie_review_check_preference,additional_comments_on_preferences
3,Male,15-30,Some College ,Movies ,Higher Production Quality ,"Longer, more detailed storytelling",Binge-Watch ,Home Theaters ,"Action , Crime ",5,4,Yes,stori,great end,Film ,,,,,,,,,,A great comedy movie that i laugh the most ,120,No,90s,"Arabic, American",3,A few months after release,alone,real stories,Yes,"No,Everything is good"
4,Female,15-30,Some College ,Both equally,Shorter Time Commitment ,More content to enjoy,Binge-Watch ,Home Theaters ,"Comedy , Crime , Fantasy , Romance ",4,1,No,mayb plot bad bore,keep engag free time,Film ,,,,,,,,lot tbh big fan disney mayb littl mermaid,mermaid ariel,"Life of mermaids and oceans, sacrificed her voice for a man just to have legs instead of her magic tail",Between 90 and 120,No,other,American,1,Doesn't matter,with others,fictional ones,Yes,No
5,Female,15-30,Bachelor's Degree ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Home Theaters ,"Action , Crime , Romance ",3,2,Yes,,,Film ,,,,,,,,harri potter,angel,,above,Yes,90s,"Arabic, American",3,Years after release,alone,fictional ones,Yes,"No,Everything is good"
6,Male,15-30,High School ,Series ,More Satisfying Storylines ,"Longer, more detailed storytelling",Binge-Watch ,Home Theaters ,"Action , Comedy , Drama ",3,3,Yes,actor,stori,Series ,Prison break ,"a group of people escape from the prison 
characters",michael,40 - 60 min ,other,The story ,5.0,mechan,jason statham,"Arthur, a contract killer, is forced to assassinate three men and make them look like accidents by his arch-rival, who kidnaps his girlfriend and threatens to kill her",Between 90 and 120,Somewhat,other,American,3,Doesn't matter,with others,fictional ones,No,"No,thanks"
7,Female,15-30,High School ,Series ,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Theater ,"Drama , Crime , Romance ",4,3,Yes,short detail bore end,,Series ,"K-drama ,mouse","enjoy plot twist action 
storylinecrime serial killer ",,20 - 40 min ,Korean ,The plot twists ,1.0,,,,90,No,other,Arabic,3,When they are first released,alone,real stories,Yes,No
8,Female,15-30,High School ,Both equally,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Action , Adventure , Comedy , Drama , History ",3,4,Yes,tradit scenario,suspens stori content,Film ,,,,,,,,interstelar,one actor,"In **Interstellar**, Earth is dying due to environmental disasters, and humanity faces extinction. Cooper, a former NASA pilot, is chosen to join a space mission through a wormhole near Saturn to find a habitable planet. He and his team travel to different planets, encountering extreme time dilation and life-threatening challenges. Meanwhile, back on Earth, his daughter Murphy works on solving a gravity equation to save humanity. Cooper eventually enters a fifth-dimensional space, where he communicates with Murphy through time. She deciphers his messages, leading to humanitys survival. In the end, Cooper reunites with his now-elderly daughter before setting off on a new journey into space.",above,Somewhat,other,American,4,A few months after release,alone,real stories,Yes,"No,thanks"
9,Female,15-30,Some College ,Movies ,More Satisfying Storylines ,Character development over time,One Episode at a Time ,Both or All of these,"Adventure , Drama , Crime , Romance ",4,3,Yes,weak stori,spend time,Film ,,,,,,,,beauti mind,alpachino,A story of a scientist ,90,Somewhat,other,American,3,A few months after release,alone,real stories,Yes,No
10,Female,15-30,Some College ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Fantasy , History ",4,2,Yes,weak storylin poor direct,storylin director obvious,Series ,"Sitcoms generally, the last of us, bojack horseman, mind hunters, love death and robots, fleabag, blue eyes samurai.",bojack horsman for example it was well written so relatable and genius in every sense the relatable characters and how real the talk is such a phenomenon  ,mr peanut butter dian ofc,20 - 40 min ,American ,The characters ,3.0,alexandria,mahmoud el meligi,Egyptian Coming of age movie ,above,Somewhat,70s,Arabic,3,Doesn't matter,alone,real stories,Yes,Depends on the genre
11,Female,15-30,Bachelor's Degree ,Both equally,Famous Actors & Directors ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Crime , Romance ",3,3,No,follow agenda stick main storylin teach lesson like film interest dont lectur,movi love watch stori driven whole new world one new stori good act write direct seri also cinematographi fashion korean drama make want watch seri even,Film ,,,,,,,,la la land,dont think one,"Musical, romance not cringe, breathtaking, colorful, dreamy, drama , everytime I rewatch it I see how great it is ",120,Somewhat,other,American,3,Doesn't matter,alone,real stories,Yes,"Nope the survey was enough, well done"
12,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Comedy , Drama , Fantasy , Romance ",3,2,Yes,actor stori,movi,Film ,,,,,,,,aveng,kareem abd elaziz,the film is about fantazi and action is a wonderful movie talk about team work to gather to protect the world ,above,No,other,American,2,When they are first released,with others,real stories,Yes,Thanks
13,Male,15-30,Some College ,Movies ,Higher Production Quality ,Character development over time,Binge-Watch ,Theater ,"Adventure , Drama , Horror , Crime , Fantasy , Romance ",2,3,I don't know,blood,movi,Film ,,,,,,,,furya,peter pet,The wer,120,Yes,70s,American,4,Years after release,alone,real stories,Yes,"No,Everything is good"
14,Female,15-30,High School ,Movies ,Shorter Time Commitment ,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,"Action , Adventure , Drama , Romance ",4,4,Yes,like movi like seri,love lost great stori whether suspens emot unexpect twist,Film ,,,,,,,,asal aswad,ahm helmi,"is a comedy-drama about an Egyptian expat who returns home after years in the U.S., rediscovering both the beauty and challenges of his homeland",above,No,other,Arabic,4,Doesn't matter,with others,real stories,Yes,Yes at the first paper i choose i love watching movies so you ask why you prefer watching movies over seris and it was must respond and after this question anthor question why you prefer watching series over movies how can I answer this if i put i love watching movies and it must respond so there will be error in the analysis behind this all things was funny wish you the best
15,Female,15-30,High School ,Movies ,Shorter Time Commitment ,Character development over time,One Episode at a Time ,Both or All of these,"Adventure , Comedy , Horror , Crime , Fantasy , Romance ",3,5,Yes,doesnt make sens,relat,Film ,,,,,,,,shutter island fault star,cant rememb name,It's too long but I like it for The plot twist ,120,No,90s,American,5,Doesn't matter,alone,real stories,Yes,"No,Everything is good"
16,Male,15-30,Some College ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Theater ,"Crime , Fantasy ",2,4,No,bad cgi bad cinematographi poor charact develop movi less hour,good stori great act caramel popcorn,Series ,Dexter the serial killer,"dexter is serial killer works in miami police department and follows his dad code to kill only bad people
the development of dexter over the seasons was perfect and each season has it cliffhanger ending",michael c hall,40 - 60 min ,American ,The story ,10.0,dark night,gari oldman,"The Joker believes Gotham is built on a lieorder, justice, and hope are illusions. To prove it, he pushes people to their breaking point, showing that anyone can fall into chaos.",120,Somewhat,other,American,3,Doesn't matter,alone,fictional ones,Yes,"No,Everything is good"
17,Female,15-30,High School ,Both equally,More Satisfying Storylines ,Cliffhangers keep me engaged,Binge-Watch ,Home Theaters ,"Action , Adventure , Horror , Crime , Fantasy ",3,2,No,take short time,stori plot,Film ,,,,,,,,nonstop,liam neeson,It's an interesting movie without any boring moments ,Between 90 and 120,Somewhat,other,American,3,Years after release,alone,fictional ones,Yes,"No,Everything is good"
18,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Comedy , Fantasy ",1,1,No,mc unlik,experienc stori new world,Film ,,,,,,,,spiderman spider vers,ryan reynold,animated spiderman movie about miles morals ,Between 90 and 120,Somewhat,other,American,1,Doesn't matter,with others,fictional ones,No,No
19,Female,15-30,High School ,Movies ,Shorter Time Commitment ,Cliffhangers keep me engaged,Binge-Watch ,Home Theaters ,"Drama , Horror , Crime ",5,2,No,weak stori unrealist event,experi new situat see differ kind peopl,Film ,,,,,,,,shrew nest,jake gyllenha american actor arab actress,exploits one woman's social insanity after being condemned to an apartment prison by her own fears,90,No,other,Other,1,Doesn't matter,alone,real stories,Yes,"No,Everything is good"
20,Female,15-30,High School ,Both equally,More Satisfying Storylines ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Action , Drama , Fantasy ",3,1,Yes,bad stori actor,enjoy vibe dive deep stori,Film ,,,,,,,,five feet apart english arab,charli cox emilia clarck,"The boy and girl met by accident in the hospital as the boy must be watched by doctors to take his medicine and the girl because she's waiting for changing her  , their illness is different but if they are close less than 5 feets the infection will be bad for them, they try to keep this distance (five feet apart)",Between 90 and 120,No,other,American,1,Doesn't matter,alone,real stories,No,No
21,Male,15-30,Some College ,Both equally,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Drama , Crime , Fantasy , Romance , History ",3,3,No,,,Film ,,,,,,,,interstellar,matthew mcconaughey,science fiction film,above,No,other,American,3,Doesn't matter,with others,real stories,No,
22,Female,15-30,High School ,Series ,Shorter Time Commitment ,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,"Action , Adventure , Comedy , Horror , Romance ",4,4,No,sometim show limit hour flow movi becom realli fast import scene either exclud doesnt take time deserv,therapeut good let go life problem bing good movi show repres sometim famili time,Film ,,,,,,,,ocean,rock,Its a heist comedy movie it starts Debbie Ocean just coming out of 5 years jail and stealing the second she comes out. she creates a team of skilled women to pull off a jewelry heist at the Met Gala. ,Between 90 and 120,Yes,other,American,1,A few months after release,alone,fictional ones,Yes,"No,Everything is good"
23,Male,15-30,Some College ,Series ,More Satisfying Storylines ,More content to enjoy,Binge-Watch ,Home Theaters ,Adventure ,4,5,Yes,bore storylin long scene without mean,charchter exit short seri good storylin high qualiti,Series ,Breaking bad,"a dying chemistry teacher turns to cooking meth to secure his familys future but his descent into crime transforms him into a ruthless drug kingpin


charachters  jessy binkman",walter white,20 - 40 min ,American ,The story ,8.0,titan,leonardo wilhelm dicaprio,"The Titanic was a luxury British passenger ship that set sail on April 10, 1912, from Southampton to New York. It was the largest ship of its time and was believed to be ""unsinkable."" However, on April 14, it struck an iceberg in the North Atlantic and sank in the early hours of April 15. Over 1,500 people died due to insufficient lifeboats and freezing waters. The disaster led to major improvements in maritime safety.",above,No,90s,American,4,When they are first released,with others,fictional ones,Yes,No
24,Female,15-30,Some College ,Both equally,Higher Production Quality ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Comedy , Drama , Fantasy , Romance ",2,2,Yes,movi doesnt real mean,stori charact,Film ,,,,,,,,,mage al kedwani, It's about a doctor who do a lecture about  the 7th grade of love and talk about all of them like a story for a 4 different couples that we realize in the end  all of them are one person is the same doctor who did the lecture ,90,Yes,other,Arabic,3,Years after release,alone,real stories,Yes,No
25,Male,15-30,Some College ,Series ,Higher Production Quality ,"Longer, more detailed storytelling",Binge-Watch ,Home Theaters ,"Action , Adventure , Comedy , Horror , Romance ",4,4,Yes,bad qualiti,seri,Series ,Vampires diaries ,actions emotions comedy,damon,40 - 60 min ,American ,The acting ,8.0,aveng,thor,"Actions, comedy,sad",120,No,other,American,3,Doesn't matter,with others,Both,Yes,Thanks
26,Female,15-30,Some College ,Series ,Famous Actors & Directors ,Character development over time,Binge-Watch ,Theater ,"Action , Adventure , Comedy , Fantasy ",3,3,No,open end,get head clear,Series ,Teen wolf and stranger things,,dylan obrien,40 - 60 min ,American ,The characters ,6.0,harri potter,ryan reynold,Its about Magic and drama,120,No,other,Other,3,Doesn't matter,Both,fictional ones,Yes,No
27,Male,15-30,Some College ,Movies ,Shorter Time Commitment ,More content to enjoy,Binge-Watch ,Home Theaters ,"Action , Adventure , Crime , Fantasy ",4,2,No,slow retm,make excit,Film ,,,,,,,,fast furiou hop show,jason statham,An adventurous movie about team of one oolice man with former criminal both involved in a mission for one purpose but different reasons.,120,No,other,American,3,Doesn't matter,alone,Both,No,No
28,Female,15-30,High School ,Series ,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Home Theaters ,"Crime , History ",5,2,No,bad stori,dont like tbh,Series ,Sa3to wtarekho ,its true crime stories in egypt  i enjoy the plot twists and the way the characters feel so real,thet group differ actor,20 - 40 min ,other,The plot twists ,2.0,zaki,,,60 minutes,No,other,Arabic,1,A few months after release,with others,real stories,Yes,No
29,Male,15-30,High School ,Movies ,Shorter Time Commitment ,,Binge-Watch ,Streaming Services,"Action , Adventure , Comedy , Crime ",4,1,No,music danc non modest cloth,stori tell way,Film ,,,,,,,,shawshank redempt,non,its about escaping from prison after making some what friends and social life,above,No,other,American,1,Doesn't matter,alone,real stories,No,"No,thanks"
30,Female,15-30,Some College ,Series ,More Satisfying Storylines ,More content to enjoy,Binge-Watch ,Streaming Services,"Action , Comedy , Drama , Horror , Romance ",4,4,I don't know,bore,interest,Series ,.,,,20 - 40 min ,other,The story ,2.0,,,,120,Somewhat,other,Arabic,2,When they are first released,with others,fictional ones,Yes,"No,Everything is good"
31,Male,15-30,Some College ,Both equally,Famous Actors & Directors ,Cliffhangers keep me engaged,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Horror , Crime , Fantasy , Romance , History ",3,5,I don't know,bore event repetit idea,direct excit event unexpect end,Film ,,,,,,,,dark knight interstel incept,cillian murphi leonardo dicaprio tom hardi,surprising,120,Yes,other,American,3,When they are first released,alone,Both,Yes,"No,thanks"
32,Female,15-30,Some College ,Movies ,More Satisfying Storylines ,,Binge-Watch ,Both or All of these,"Comedy , Horror ",4,3,No,much bore script lack suspens,attent grab fun,Film ,,,,,,,,dont watch fun,one,,60 minutes,Yes,other,"Arabic, American",1,Doesn't matter,Both,real stories,Yes,"No,thanks"
33,Female,15-30,Some College ,Series ,,Character development over time,Binge-Watch ,Streaming Services,"Action , Adventure , Drama , Crime , Fantasy ",4,5,No,delay procrastin,plot,Film ,,,,,,,,harri potter,alan rickman,The story begins when 11-year-old orphan Harry discovers that his parents were wizards and he starts his education in magic at Hogwart's School of Witchcraft and Wizardry,above,Somewhat,other,"American, Other",3,A few months after release,alone,Both,Yes,No
34,Male,15-30,High School ,Both equally,,"Longer, more detailed storytelling",Binge-Watch ,Home Theaters ,"Action , Adventure , Drama , Fantasy , History ",4,4,I don't know,bad storytel sexual content,storytel charact develop god act,Film ,,,,,,,,interstellar,,,above,Somewhat,other,American,1,Doesn't matter,alone,Both,Yes,"No,thanks"
35,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,Cliffhangers keep me engaged,One Episode at a Time ,Both or All of these,"Action , Adventure , Comedy , Drama , Horror , Crime , Fantasy , Romance , History ",3,3,Yes,dispoint unclear end also dont like delay th plot unnecessari detail make bore,storytel,Film ,,,,,,,,like star earth,dont fav actor,"Ishaan is criticised by his parents for his poor academic performance and is sent away to a boarding school. Ram, an art teacher, however, realises he has dyslexia and helps him uncover his potential.there were many plot twists in the movie as well.",above,Somewhat,other,Other,3,Doesn't matter,Both,Both,Yes,"No,Everything is good"
36,Female,15-30,High School ,Series ,Famous Actors & Directors ,More content to enjoy,Binge-Watch ,Home Theaters ,"Action , Adventure , Comedy , Drama , Romance ",2,1,Yes,long bore,plot twist,Film ,,,,,,,,nower,asmaa galal,Action and drama,90,No,80s,"Arabic, American",1,When they are first released,with others,real stories,Yes,"No,thanks"
37,Male,15-30,Master's Degree ,Both equally,More Satisfying Storylines ,More content to enjoy,Binge-Watch ,Home Theaters ,"Comedy , Drama , Horror , Crime , Romance ",3,1,Yes,,,Film ,,,,,,,,night crawler,rayen gols,,120,Yes,other,American,5,Years after release,with others,real stories,Yes,
38,Female,15-30,Some College ,Both equally,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Horror , Crime , Fantasy , Romance , History ",5,3,I don't know,noth,enjoy,Film ,,,,,,,,,hesham mage,,120,Yes,other,Arabic,5,A few months after release,Both,Both,Yes,"No,Everything is good"
39,Female,15-30,Some College ,Both equally,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Comedy , Fantasy , Romance ",2,4,No,dislik movi obviou product team put littl effort whether reli clich overus sexual theme forc gen z slang univers languag feel lazi touch,love see effort put everi aspect movi seri exampl harri potter jk rowl ad mani detail even th rewatch still discov someth new sever everi episod wellmad fill detail hint add depth stori overal appreci movi product team put effort everyth like stori cinematographi costum makeup set design even seemingli irrelev prop carri deeper mean,Film ,,,,,,,,amli,audrey tautou,"The movie follows Amlie, a lonely and introverted young woman living in France. Throughout the film, she secretly helps those around her through small acts of kindness. When she meets Nino, a man just as quirky as she is, she becomes intrigued by him. However, her shyness prevents her from approaching him directly, so she helps him from afar while he tries to uncover her identity.",120,Yes,other,Other,1,Years after release,alone,fictional ones,No,I just want to say budget of project doesn't matter alot of great movies where budget movies like amelie or hungry hearts both were low production yet still are my favourite movies
40,Female,15-30,High School ,Series ,,More content to enjoy,One Episode at a Time ,Both or All of these,"Adventure , Comedy , Fantasy , History ",4,4,No,lot sad scene,,Film ,,,,,,,,aveng,robert downey jr,"Suspense, action, fun",above,No,other,American,3,Doesn't matter,alone,Both,Yes,"No,Everything is good"
41,Female,15-30,High School ,Movies ,More Satisfying Storylines ,,Binge-Watch ,Both or All of these,"Adventure , Comedy , Drama , Crime , Fantasy , History ",3,2,No,poor act grab audienc attent first movi clich predict stori,pass time take look idea peopl way think,Film ,,,,,,,,fight club,tom hank leonardo dicaprio brad pitt,"Fight Club is a 1999 American film in which an unnamed insomniac office worker, disillusioned by his sterile, consumer-driven life, forms an underground fight club with the charismatic soap salesman Tyler Durden, only to discover that Tyler is a manifestation of his own repressed anger and desire for freedom; as the club morphs into the anarchistic Project Mayhem, the film delves into themes of identity, masculinity, and the destructive nature of modern society, ultimately challenging viewers to question the price of conformity and the search for authentic self-expression. ",above,No,90s,American,2,Doesn't matter,Both,Both,Yes,"No,Everything is good"
42,Male,15-30,Some College ,Both equally,,"Longer, more detailed storytelling",Binge-Watch ,Home Theaters ,"Adventure , Comedy , Drama , Fantasy , Romance ",3,1,No,hasnt fulli cover detail,stori romanc,Series ,teen wolf,"about super natural being like werewolf how challenges by other and faces various types of enemies 
sth like black magic ",stile,20 - 40 min ,American ,Other (Specify),6.0,harri potter,tom cruis,"This movie revolve around the main character whom has born and there is rumored that he is the hero who will defeat the main villain according to the prophecy 
I didn't tell you it's a magic world like a alternate dimension so take care 
It's  told that tha main villain is wondering around trying to get people to his side ",Between 90 and 120,No,90s,American,2,Doesn't matter,Both,Both,Yes,"No,thanks"
43,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,Cliffhangers keep me engaged,Binge-Watch ,Home Theaters ,"Adventure , Comedy , Drama , Fantasy , Romance , History ",2,4,No,stori convinc,good plot,Film ,,,,,,,,,,,Between 90 and 120,No,other,"Arabic, Other",2,A few months after release,Both,fictional ones,No,"No,thanks"
44,Female,15-30,Some College ,Series ,Shorter Time Commitment ,Cliffhangers keep me engaged,Binge-Watch ,Both or All of these,"Adventure , Comedy , Drama , Romance ",2,1,No,exagger,enjoy time take lesson,Series ,Sahipsizler,,hazal,More than 60 min ,Turkish ,The story ,1.0,,,,Between 90 and 120,Somewhat,other,Arabic,5,A few months after release,Both,Both,Yes,No
45,Female,15-30,High School ,Series ,,Character development over time,Binge-Watch ,Streaming Services,"Action , Adventure , Drama , Crime , Fantasy ",3,4,Yes,lgbtq thing happen,live anoth live know new thing,Series ,Doctor Who ,an extraterrestrial time lord the doctor travels the universe in a time travelling spaceship called the tardis often with companions,matt smith david tennant christoph eccleston,40 - 60 min ,British ,The story ,10.0,end game,robert downey jr chri evan scarlett johansson,"After Thanos, an intergalactic warlord, disintegrates half of the universe, the Avengers must reunite and assemble again to reinvigorate their trounced allies and restore balance.",above,Somewhat,other,American,4,When they are first released,alone,Both,No,"No,thanks"
46,Male,15-30,Some College ,Movies ,Shorter Time Commitment ,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,Fantasy ,3,2,Yes,sad,action,Film ,,,,,,,,,,,60 minutes,Yes,80s,"Arabic, American",3,A few months after release,alone,fictional ones,Yes,"No,Everything is good"
47,Female,15-30,Bachelor's Degree ,Both equally,Shorter Time Commitment ,More content to enjoy,Binge-Watch ,Both or All of these,"Horror , Crime , Romance ",3,2,No,tradit stori,suspens,Series ,Teen Wolf,emotions ,tyler posey tyler hoechlin dylan obrien crystal reed,40 - 60 min ,American ,The story ,6.0,fault star,shailen woodley ansel elgort,,Between 90 and 120,Somewhat,other,American,1,A few months after release,Both,Both,Yes,"No,Everything is good"
