,gender,age_range,highest_education_level,preferred_content_type,prefer_movies_over_series_reason,prefer_series_over_movies_reason,binge_watching_preference,preferred_film_type,preferred_genres,popularity_influence_on_decision,actor_importance_rating,budget_quality_indicator,movie_dislike_factors,movie_series_likes,favorite_movie_or_series,favorite_series,favorite_series_summary_and_enjoyment,favorite_series_actors,ideal_episode_duration,series_nationality,favorite_series_what_liked_most,series_seasons_count,favorite_movie,favorite_movie_actor,favorite_movie_description,movie_duration,release_date_importance,movie_decade,movie_genre,movie_budget_importance,general_movie_watching_preference,watching_with_others_preference,real_vs_fictional_preference,movie_review_check_preference,additional_comments_on_preferences
48,Female,15-30,Some College ,Both equally,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Both or All of these,"Adventure , Drama , Fantasy , Romance ",1,3,Yes,movi avail qualiti may poor,fun free timein fact reduc overthink,Series ,The 100,a group of young people living in a spaceship decide to go down to explore earth to find a source of livelihood ,blamey,20 - 40 min ,American ,The story ,7.0,maze runner,thoma,Fantasy  and adventure ,Between 90 and 120,No,other,American,3,Doesn't matter,Both,Both,Yes,"No,Everything is good"
49,Female,15-30,Some College ,Series ,,Cliffhangers keep me engaged,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Horror , Crime ",3,3,Yes,confus movi wouldnt understand anyth word wouldnt clear stori,stori clear event interconnect movi seri realli attract,Series ,,,,40 - 60 min ,other,The story ,2.0,,,,Between 90 and 120,No,90s,Arabic,4,Doesn't matter,Both,Both,No,No
50,Male,15-30,Some College ,Movies ,Shorter Time Commitment ,More content to enjoy,One Episode at a Time ,Both or All of these,"Action , Adventure , Drama , Crime , Fantasy ",4,3,Yes,bore stori,stori charact,Film ,,,,,,,,spider man,tom holland,Really interesting ,90,Somewhat,other,American,4,A few months after release,alone,Both,Yes,No
51,Female,15-30,High School ,Both equally,,,Binge-Watch ,Streaming Services,"Action , Adventure , Comedy , Fantasy ",2,5,No,contain mani inappropri scene,nobl goal present creativ way,Film ,,,,,,,,jumanji,rock,it is about a strange game that take the players into an adventures and they have to finish the tasks and save jumanji to could return to their normal life,120,Yes,other,American,4,Doesn't matter,Both,fictional ones,No,"No,thanks"
52,Male,15-30,Bachelor's Degree ,Both equally,,,One Episode at a Time ,Streaming Services,"Action , Adventure , Comedy , Horror , Crime ",3,4,I don't know,noth,entertain watch,Series ,Breaking Bad,ofc you know the series no need to summarize it and the most enjoyable thing is the plot twists,brian someth heisenberg,20 - 40 min ,American ,The story ,6.0,blood,faker esmo,A story of the beginning of the oil era in America ,120,Somewhat,90s,American,4,Doesn't matter,Both,real stories,No,No
53,Male,15-30,Some College ,Movies ,More Satisfying Storylines ,Character development over time,Binge-Watch ,Home Theaters ,"Action , Crime , History ",4,4,No,weak stori,motiv give courag someth,Film ,,,,,,,,oppenheim,robert downey,The movie talks about the presence of the atomic bomb and the nuclear mindset to create two bombs then dropped on japan to end the world war 2,above,No,other,Other,3,Doesn't matter,alone,real stories,No,"No,thanks"
54,Female,15-30,High School ,Movies ,Shorter Time Commitment ,"Longer, more detailed storytelling",One Episode at a Time ,Both or All of these,"Adventure , Comedy , Fantasy , Romance , History ",2,3,Yes,dont know,excit end,Film ,,,,,,,,twilight,robert,"A struggle between a vampire and a werewolf over the girl, and she will love blood and transform him
",above,Somewhat,90s,American,3,When they are first released,Both,fictional ones,Yes,"No,Everything is good"
55,Male,15-30,Some College ,Both equally,Higher Production Quality ,More content to enjoy,Binge-Watch ,Both or All of these,Fantasy ,5,5,Yes,incept mindbend thriller direct christoph nolan explor complex natur dream realiti film follow dom cobb expert extractor enter peopl dream steal valuabl secret subconsci latest mission howev requir implant idea someon minda process known incept team dive multipl layer dream boundari realiti illus becom increasingli blur film ambigu end leav viewer question whether cobb truli return realiti remain trap within dream,break bad acclaim american crime drama follow transform walter white high school chemistri teacher ruthless methamphetamin manufactur receiv termin cancer diagnosi walter partner former student jess pinkman secur famili financi futur enter drug trade seri delv danger moral ambigu world drug product everi decis bring escal risk unforeseen consequ walter adopt alia heisenberg becom entangl web violenc betray power struggl within crimin underworld break bad captiv audienc intens narr complex charact develop explor desper drive man cross irrevers moral boundari,Film ,,,,,,,,inspect,tom hardi,An exciting science fiction movie,120,Yes,90s,"American, Japanese",5,When they are first released,alone,Both,Yes,Ato is the best thing u can ever watch
56,Male,15-30,High School ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Home Theaters ,"Action , Adventure , Comedy , Crime , Tragedy ",3,1,No,bad stori,good stori,Series ,Attack on titan ,,eren,20 - 40 min ,other,The plot twists ,4.0,fight club,brad pitt,"Unhappy with his capitalistic lifestyle, a white-collared insomniac forms an underground fight club with Tyler, a careless soap salesman. Soon, their venture spirals down into something sinister.",Between 90 and 120,No,90s,American,1,Doesn't matter,alone,Both,Yes,"No,thanks"
57,Female,15-30,High School ,Movies ,Shorter Time Commitment ,More content to enjoy,Binge-Watch ,Both or All of these,"Adventure , Comedy , Fantasy , History ",1,2,Yes,stori bore repetit event exagger,like theyr fun way spend free time disconnect stress,Film ,,,,,,,,avatar,sam,"A sci-fi adventure set on the planet Pandora, where humans try to take resources, but a soldier connects with the native Na'vi and fights to protect their world",120,Somewhat,other,American,3,Doesn't matter,Both,Both,Yes,"Some factors that influence movie preferences:
Genre, Storyline, Actors & Directors, Reviews & Rating, Mood"
58,Male,15-30,High School ,Movies ,More Satisfying Storylines ,,Binge-Watch ,Both or All of these,"Adventure , Comedy , Drama , Crime , Fantasy , History ",2,3,Yes,stori,story,Film ,,,,,,,,god father,leonardo dicaprio,Masterpiece ,above,No,70s,American,2,Doesn't matter,alone,Both,Yes,"No,Everything is good"
59,Female,15-30,Some College ,Series ,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Drama , Horror , Fantasy , Romance , History ",1,3,Yes,exagger,enjoy,Series ,son yaz,,,More than 60 min ,Turkish ,The acting ,2.0,delib,alperan duymaz,,Between 90 and 120,Somewhat,other,Other,1,When they are first released,Both,Both,Yes,"No,thanks"
60,Male,15-30,High School ,Both equally,More Satisfying Storylines ,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,"Action , Adventure , Comedy , Drama , Fantasy ",4,4,No,rainbow peopl,music small hidden easter egg stori,Series ,severance,"the plot follows mark scout adam scott an employee of the fictional corporation lumon industries who agrees to a severance program in which his workplace memories are separated from his primary external memories and his quest on finding the secrets lumon hides

character mark scout miss cobel
the ending of season one was a great plottwist but the cliffhanger was painful
the music is top tier",adam scout britt lower tramel tillmani hate charact much good actor patricia arquett good job,40 - 60 min ,American ,The cinematography ,2.0,spiderman across spidervers,oscar isaac miguel ohara,its just spider man in the spider-verse,above,No,other,American,1,Doesn't matter,Both,fictional ones,No,i think the term (one man against the world) fits it well
61,Female,15-30,Some College ,Both equally,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Romance ",4,2,No,catchi start,help escap everyth good time,Film ,,,,,,,,fault star,karim abdelaziz,Its romance dramatic movie with a sad ebd,120,Somewhat,other,American,1,Doesn't matter,Both,fictional ones,Yes,"No,Everything is good"
62,Male,15-30,Some College ,Both equally,Higher Production Quality ,,Binge-Watch ,Both or All of these,"Action , Comedy , Drama , Horror , Crime ",3,3,Yes,noth,mani thing,Film ,,,,,,,,beekeep,jason statham,Fager,Between 90 and 120,No,other,American,3,When they are first released,alone,Both,No,"No,Everything is good"
63,Male,15-30,High School ,Movies ,Shorter Time Commitment ,,Binge-Watch ,Home Theaters ,"Drama , History ",3,2,No,certain commerci polit consider go way movi productionscreenplay like ad overt dei promot agenda product brand placement etc,provid prespect insight uniqu environ circumst movieseri produc your live world charact set,Film ,,,,,,,,lobster,none prefer ensembl cast,"One of the best surreal masterpieces you can encounter, highlighting the divide between the drives of family-making and coupling and individualism. Perfect from its prolouge to its ending.",Between 90 and 120,No,other,American,2,Doesn't matter,alone,Both,Yes,"No,thanks"
64,Male,15-30,High School ,Movies ,Shorter Time Commitment ,"Longer, more detailed storytelling",One Episode at a Time ,Streaming Services,"Action , Adventure , Comedy , Crime ",4,5,Yes,movi slow bore,movi interest attract like fight action scene,Film ,,,,,,,,death race,jason statham,About a man who was trapped and put in the most dangerous prison and that prison make live show for a race called death race that who dead lose and who win at first place for 5 times will be free and get out the prison,Between 90 and 120,No,other,American,3,Doesn't matter,Both,Both,No,"No,thanks"
65,Female,15-30,Some College ,Series ,Shorter Time Commitment ,More content to enjoy,Binge-Watch ,Streaming Services,"Comedy , Drama , Crime , Fantasy , Romance ",4,4,No,lack messag proper plot,like stori watch human emotio portray work,Series ,Alice in borderland , friends find themselves in a weird world that looks just like their city but no ones there and later theyll have to join some games to survive in this world,keita machida,40 - 60 min ,other,The story ,3.0,dead poet societi,ethan hawk,"It's about teenagers, their dreams and their love for poetry",120,No,90s,American,1,Doesn't matter,alone,fictional ones,Yes,No
66,Male,15-30,Some College ,Both equally,More Satisfying Storylines ,Character development over time,One Episode at a Time ,Streaming Services,"Action , Adventure , Fantasy ",3,4,No,wast time,give happi ambit,Film ,,,,,,,,interstellar,cillian murphi,"During World War II, Lt. Gen. Leslie Groves Jr. appoints physicist J. Robert Oppenheimer to work on the top-secret Manhattan Project. Oppenheimer and a team of scientists spend years developing and designing the atomic bomb. Their work comes to fruition on July 16, 1945, as they witness the world's first nuclear explosion, forever changing the course of history.",above,No,other,American,1,Doesn't matter,Both,fictional ones,No,"No,Everything is good"
67,Male,15-30,High School ,Movies ,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Fantasy ",5,4,No,bad end lot action middl movi averag egyptian product,good timelin action either,Series ,Attack on titan,,,Less than 20 min ,other,The story ,4.0,godfath,marlon brando,Mafia lmao,above,No,70s,American,3,Doesn't matter,Both,Both,Yes,"No,thanks"
68,Male,15-30,High School ,Movies ,Shorter Time Commitment ,Cliffhangers keep me engaged,Binge-Watch ,Theater ,"Action , Adventure , Comedy , Crime ",3,3,I don't know,bore shot,noth,Film ,,,,,,,,bad boy,one,Action and comedy ,Between 90 and 120,Yes,other,American,1,When they are first released,Both,Both,No,We need new ideas
69,Female,15-30,High School ,Both equally,,,Binge-Watch ,Both or All of these,"Adventure , Comedy , Drama , Horror , Crime , Romance ",5,1,Yes,unrealist stori,stori charact,Film ,,,,,,,,ek villain,ahm zaki,Romance and action.,above,No,other,Other,4,Doesn't matter,Both,Both,No,"No,thanks"
70,Female,15-30,Bachelor's Degree ,Series ,More Satisfying Storylines ,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,"Action , Adventure , Comedy , Fantasy , History ",1,1,No,stale storylin,good write,Series ,The office,    the office ,,20 - 40 min ,American ,The story ,7.0,,,,90,No,other,Other,1,Doesn't matter,Both,Both,No,"No,thanks"
71,Male,15-30,High School ,Both equally,More Satisfying Storylines ,,One Episode at a Time ,Both or All of these,"Action , Adventure , Comedy ",3,1,Yes,bad scene,,Series ,,,,More than 60 min ,Turkish ,The story ,6.0,idk,idk,,,Somewhat,other,Other,3,Doesn't matter,Both,Both,No,"No,Everything is good"
72,Female,15-30,Some College ,Both equally,Shorter Time Commitment ,"Longer, more detailed storytelling",Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Horror , Crime , Fantasy , Romance , History ",4,2,No,dislik movi bad write weak charact poor pace overus clich bad cgi forc messag unnecessari sequel remak thing make movi feel unorigin bore watch,enjoy movi seri great storytel strong charact emot impact creativ worldbuild beauti cinematographi good sound design unexpect twist element make stori immers memor,Series ,Gilmore girls ,"gilmore girls is a heartwarming dramacomedy about the relationship between a fasttalking coffeeloving single mother lorelai gilmore and her intelligent bookish daughter rory gilmore set in the charming town of stars hollow the series follows their lives friendships love interests and the challenges they face as rory pursues her dream of attending harvard later yale while lorelai navigates her career and complicated relationship with her wealthy parents  

 what i enjoyed most  
 the characters  lorelais witty humor rorys academic drive and the quirky townspeople make the show lively  
 fastpaced dialogue the witty popculturefilled conversations are unique and engaging  
 strong motherdaughter bond  their close relationship is both relatable and heartwarming  
 stars hollows charm the town feels like a character itself full of lovable and eccentric people  
 romantic drama  the love stories lorelai  luke rorys relationships keep things interesting  
 emotional moments the show balances humor with deep emotional moments about family dreams and growing up  ",lauren graham lorelai gilmor alexi bledel rori gilmor scott patterson luke dane,40 - 60 min ,American ,The characters ,7.0,incept,leonardo dicaprio,"Inception follows Dom Cobb (DiCaprio), a skilled thief who steals secrets from people's subconscious through dreams. He is given a chance to erase his criminal past by completing an impossible missionplanting an idea in someone's mind instead of stealing one, a process called inception. As Cobb and his team dive deeper into layered dreams, the line between reality and illusion blurs, leading to a thrilling and emotional climax.",above,No,other,American,3,Doesn't matter,with others,Both,Yes,"No,thanks"
73,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,Cliffhangers keep me engaged,Binge-Watch ,Both or All of these,"Adventure , Comedy , Horror , Crime ",3,4,Yes,bore content,catch aur feel,Film ,,,,,,,,five feet apart good dinasour,specif one,Between two actors one of them must fie because he have a disease and they shouldnt be near each other more than 5 feets or they will die,Between 90 and 120,No,other,"Arabic, American, Other",3,Doesn't matter,with others,real stories,Yes,No
74,Male,15-30,Some College ,Series ,,"Longer, more detailed storytelling",Binge-Watch ,Both or All of these,Drama ,3,3,No,slow pace event,charact develop plot progress,Series ,Dexter ,dexter morganin the morning works as blood analyst at miami metro police department labbut at night he is a serial killerhe only kills people who fall within code though by his father harry,michael c hall,40 - 60 min ,American ,The characters ,9.0,taxi driver,de niro,"Ex-soldier during the Vietnam war,who wants to rid his city of the corruption that has spread and with such fury there is no one left who feels they are the cause of it.",120,No,70s,American,3,Doesn't matter,alone,Both,No,"No,Everything is good"
75,Male,15-30,High School ,Movies ,Famous Actors & Directors ,"Longer, more detailed storytelling",Binge-Watch ,Both or All of these,Romance ,1,5,Yes,,,Film ,,,,,,,,,,,60 minutes,Yes,other,Arabic,5,When they are first released,Both,real stories,Yes,"No,Everything is good"
76,Female,15-30,High School ,Both equally,More Satisfying Storylines ,Cliffhangers keep me engaged,Binge-Watch ,Home Theaters ,"Action , Adventure , Comedy , Drama , Horror , Crime , Fantasy , Romance , History ",5,3,I don't know,,plot twist,Series ,High potential ,,one,40 - 60 min ,American ,The story ,2.0,aladdin,,,above,No,other,American,1,Doesn't matter,Both,Both,Yes,"No,thanks"
77,Male,15-30,Some College ,Series ,,"Longer, more detailed storytelling",One Episode at a Time ,Home Theaters ,"Action , Adventure , Horror , Fantasy ",3,4,No,bad sens disrespect religion,movi seri control time play game especi onlin limit cant control time may wast much time feel angri lost side watch movi seri,Series ,attack of titian,"talking about titans vs humans
i enjoyed both story and characters specially the way of eren think",eren yeager,Less than 20 min ,other,The characters ,4.0,aveng endgam,josh brolin, avengers vs thanos,above,Yes,other,American,4,Doesn't matter,Both,fictional ones,No,No
78,Female,15-30,Bachelor's Degree ,Both equally,Higher Production Quality ,"Longer, more detailed storytelling",One Episode at a Time ,Theater ,"Comedy , Drama , Horror , Crime ",3,2,No,movi poorli direct,stori,Series ,the midwich cuckoos,"a supernatural event overcomes the quiet village of midwich and leaves its residents unconscious upon waking they discover that numerous women are pregnant setting off a desperate search for the truth
",ukw roach,,British ,The acting ,1.0,moana,moana,"Moana, daughter of chief Tui, embarks on a journey to return the heart of goddess Te Fitti from Maui, a demigod, after the plants and the fish on her island start dying due to a blight",above,No,other,American,4,Doesn't matter,alone,Both,Yes,"No,Everything is good"
79,Female,15-30,Some College ,Series ,Higher Production Quality ,More content to enjoy,Binge-Watch ,Both or All of these,"Action , Drama , Horror , Crime , Romance , History ",2,5,Yes,interest,bed,Series ,Friends ,its a great idea ,seri,More than 60 min ,American ,The story ,2.0,kaml el awsaf,amer mouneb,Its a great movie I have ever seen ,Between 90 and 120,Yes,other,Arabic,1,Years after release,alone,real stories,Yes,No
80,Female,15-30,High School ,Movies ,Higher Production Quality ,,Binge-Watch ,Theater ,"Adventure , Comedy , Drama , Horror , Fantasy , Romance ",4,3,Yes,noth,long detail,Film ,,,,,,,,zathura,muham ragab,It is an adventure through board game,60 minutes,No,90s,American,2,A few months after release,alone,Both,No,Loving the science fiction movies
81,Female,15-30,Other,Movies ,Higher Production Quality ,,One Episode at a Time ,Home Theaters ,"Adventure , Comedy ",2,3,Yes,action,adventur,Film ,,,,,,,,,,,Between 90 and 120,Somewhat,other,Arabic,3,A few months after release,Both,Both,Yes,No
82,Male,15-30,Some College ,Series ,Shorter Time Commitment ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Drama , Crime ",2,3,Yes,underestim viewer mind illog stori time weak act bad end stori,plot stori develop charact wellcraft unexpect end act wellcraft,Series ,Breaking bad,,,40 - 60 min ,American ,The characters ,5.0,interstellar,jason statham,"Space travel and reality change


",Between 90 and 120,Yes,other,American,2,When they are first released,with others,Both,Yes,"No,Everything is good"
83,Female,15-30,Some College ,Movies ,More Satisfying Storylines ,More content to enjoy,Binge-Watch ,Theater ,Comedy ,4,5,Yes,shallow movi stori,love immers differ world enjoy excit stori see charact plot develop,Film ,,,,,,,,action,ahm ezz,,Between 90 and 120,No,other,Arabic,3,Doesn't matter,Both,Both,No,"No,Everything is good"
84,Male,15-30,Some College ,Both equally,Higher Production Quality ,Character development over time,Binge-Watch ,Home Theaters ,"Action , Comedy , Drama , Crime , Romance , History ",3,3,Yes,advertis,goal behind stori,Film ,,,,,,,,home alon,kevin mccallist,"Kevin McCallister, an eight-year-old boy, is accidentally left home alone during Christmas and must defend his house from two burglars. Using clever traps and quick thinking, he outsmarts them in this classic holiday comedy.",Between 90 and 120,No,80s,"Arabic, American",3,Years after release,with others,Both,Yes,"No,Everything is good"
85,Male,15-30,High School ,Both equally,,,Binge-Watch ,Home Theaters ,"Action , Adventure , Comedy , Drama , Fantasy , History ",4,4,Yes,bad stori,good stori,,Game of Thrones,,kit harington,20 - 40 min ,American ,The story ,8.0,aveng infin war end game,robert dawni jr,Action,above,No,other,American,4,Doesn't matter,alone,Both,Yes,"No,thanks"
86,Female,15-30,Some College ,Movies ,More Satisfying Storylines ,More content to enjoy,One Episode at a Time ,Home Theaters ,Comedy ,3,3,Yes,thing,herri boterr,Film ,,,,,,,,herri boterr,karem abdlazz,Move to Future ,60 minutes,Somewhat,90s,"Arabic, American",3,Years after release,Both,Both,Yes,Thanks
87,Male,15-30,Some College ,Both equally,More Satisfying Storylines ,,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy , Drama , Crime , Fantasy , Romance , History ",1,1,Yes,bore storylin,umexpect plot twist,Film ,,,,,,,,fight club,leonardo decapreo,I cant talk about it,above,No,90s,American,1,Doesn't matter,alone,Both,No,"A very very underrated short series called ""wayne"" u should really watch it"
88,Female,15-30,High School ,Series ,,More content to enjoy,One Episode at a Time ,Theater ,"Adventure , Comedy , Fantasy , Romance , History ",4,5,No,,,Series , ,,,20 - 40 min ,other,The story ,1.0,king kong,,,Between 90 and 120,Yes,other,American,1,Doesn't matter,Both,Both,Yes,"No,Everything is good"
89,Female,15-30,High School ,Series ,,"Longer, more detailed storytelling",Binge-Watch ,Streaming Services,"Action , Horror , Crime , Romance ",2,2,Yes,openend conclus,excit stori,Series ,Flower of evil,"about a detective moon chaewon who begins suspecting that her perfect husband lee joongi is hiding a dark past as she investigates a series of murders she uncovers shocking secrets that test their love and trust
 i like the characters and actions",lee joon gi,40 - 60 min ,Korean ,The story ,1.0,harri potter,rupert grint,"film explore  themes of friendship, bravery, destiny, and the battle between good and evil",above,No,other,American,1,When they are first released,alone,fictional ones,Yes,"No,thanks"
90,Male,15-30,Bachelor's Degree ,Both equally,Higher Production Quality ,More content to enjoy,Binge-Watch ,Streaming Services,"Action , Adventure , Fantasy , History ",3,5,No,lack coher scene impos event without previou proper introduct,good charact develop noth occur chanc must link event,Series ,    ,,,20 - 40 min ,other,The characters ,1.0,aveng end game,robert junior,It was a superhero movie,120,No,other,American,3,Doesn't matter,with others,fictional ones,Yes,No
91,Female,15-30,Some College ,Series ,,"Longer, more detailed storytelling",One Episode at a Time ,Home Theaters ,Crime ,3,4,Yes,creativ stori,stori mysteri entertain creativ,Series ,"Ozark, breaking bad",some crimes happen and ways to run  enjoying the characters and story,idk name,20 - 40 min ,American ,The plot twists ,5.0,invis guest,noah centineo,Adrian Doria finds himself in trouble when he becomes the key suspect in the murder of his girlfriend. He hires a famous defence lawyer and together they try to figure out a way to clear his name,Between 90 and 120,Yes,other,American,2,A few months after release,alone,real stories,Yes,No
92,Male,15-30,Some College ,Movies ,Higher Production Quality ,Character development over time,Binge-Watch ,Home Theaters ,"Action , Adventure , Drama , Horror ",3,1,Yes,repeat stori,cinemat mode,Film ,,,,,,,,seen,morgan freeman,Crime movie about the seven deadly sins,Between 90 and 120,No,90s,American,3,A few months after release,alone,Both,Yes,"No,thanks"
93,Female,15-30,Some College ,Movies ,Shorter Time Commitment ,More content to enjoy,Binge-Watch ,Both or All of these,"Adventure , Comedy ",2,3,Yes,,,Film ,,,,,,,,interstellar,ahm zaki,,Between 90 and 120,Yes,90s,American,2,Doesn't matter,Both,Both,Yes,
94,Male,15-30,Some College ,Both equally,More Satisfying Storylines ,Character development over time,Binge-Watch ,Both or All of these,"Action , Adventure , Comedy ",2,2,No,,develop charact,Series ,game of thrones ,fantasy series  characters ,emilia clark,40 - 60 min ,British ,The story ,6.0,shawshank redempt,,escape from prison ,above,No,90s,American,3,Doesn't matter,alone,Both,No,No
95,Female,15-30,Bachelor's Degree ,Series ,Famous Actors & Directors ,More content to enjoy,Binge-Watch ,Home Theaters ,"Comedy , Romance ",1,3,Yes,slow scene movi,song,Series , ,,,20 - 40 min ,other,The acting ,3.0,,,the most interesting ,120,Yes,other,Arabic,1,A few months after release,alone,Both,Yes,"No,Everything is good"
